[85, 170, 6, 4, 1, 1, 0, 6, 0]
[85, 170, 6, 4, 1, True, 1, 7, 0]
{'voltage': 238.079, 'current': 0.04, 'voltage_peak': 336.694, 'current_peak': 0.05, 'Power_factor': 0.8333, 'Frequency': 50.18, 'Active_Power': 1844674407370955.2, 'Reactive_Power': 1844674407370955.2, 'Apparent_Power': 0.003, 'Active_Energy': 0.0, 'time': '2023-02-27 11:26:28', 'reactive_energy': 0.0, 'apparent_energy': 0.0}
{'voltage': 238.079, 'current': 0.04, 'voltage_peak': 336.694, 'current_peak': 0.05, 'Power_factor': 0.8333, 'Frequency': 50.18, 'Active_Power': 1844674407370955.2, 'Reactive_Power': 1844674407370955.2, 'Apparent_Power': 0.003, 'Active_Energy': 0.0, 'time': '2023-02-27 11:26:28', 'reactive_energy': 0.0, 'apparent_energy': 0.0}
{'voltage': 237.94400000000002, 'current': 0.04, 'voltage_peak': 336.503, 'current_peak': 0.05, 'Power_factor': 0.7083, 'Frequency': 50.17, 'Active_Power': 1844674407370955.2, 'Reactive_Power': 0.0018000000000000002, 'Apparent_Power': 0.0024000000000000002, 'Active_Energy': 0.0, 'time': '2023-02-27 11:26:29', 'reactive_energy': 0.0, 'apparent_energy': 0.0}
{'voltage': 237.94400000000002, 'current': 0.04, 'voltage_peak': 336.503, 'current_peak': 0.05, 'Power_factor': 0.7083, 'Frequency': 50.17, 'Active_Power': 1844674407370955.2, 'Reactive_Power': 0.0018000000000000002, 'Apparent_Power': 0.0024000000000000002, 'Active_Energy': 0.0, 'time': '2023-02-27 11:26:29', 'reactive_energy': 0.0, 'apparent_energy': 0.0}
{'voltage': 237.929, 'current': 0.04, 'voltage_peak': 336.482, 'current_peak': 0.05, 'Power_factor': 0.923, 'Frequency': 50.17, 'Active_Power': 1844674407370955.2, 'Reactive_Power': 0.001, 'Apparent_Power': 0.0026000000000000003, 'Active_Energy': 0.0, 'time': '2023-02-27 11:26:30', 'reactive_energy': 0.0, 'apparent_energy': 0.0}
{'voltage': 237.929, 'current': 0.04, 'voltage_peak': 336.482, 'current_peak': 0.05, 'Power_factor': 0.923, 'Frequency': 50.17, 'Active_Power': 1844674407370955.2, 'Reactive_Power': 0.001, 'Apparent_Power': 0.0026000000000000003, 'Active_Energy': 0.0, 'time': '2023-02-27 11:26:30', 'reactive_energy': 0.0, 'apparent_energy': 0.0}
{'voltage': 238.094, 'current': 0.04, 'voltage_peak': 336.71500000000003, 'current_peak': 0.05, 'Power_factor': 0.1562, 'Frequency': 50.160000000000004, 'Active_Power': 1844674407370955.2, 'Reactive_Power': 1844674407370955.2, 'Apparent_Power': 0.0032, 'Active_Energy': 0.0, 'time': '2023-02-27 11:26:31', 'reactive_energy': 0.0, 'apparent_energy': 0.0}
{'voltage': 238.094, 'current': 0.04, 'voltage_peak': 336.71500000000003, 'current_peak': 0.05, 'Power_factor': 0.1562, 'Frequency': 50.160000000000004, 'Active_Power': 1844674407370955.2, 'Reactive_Power': 1844674407370955.2, 'Apparent_Power': 0.0032, 'Active_Energy': 0.0, 'time': '2023-02-27 11:26:31', 'reactive_energy': 0.0, 'apparent_energy': 0.0}
{'voltage': 238.275, 'current': 0.04, 'voltage_peak': 336.971, 'current_peak': 0.05, 'Power_factor': 0.6999000000000001, 'Frequency': 50.17, 'Active_Power': 0.0007, 'Reactive_Power': 1844674407370955.2, 'Apparent_Power': 0.001, 'Active_Energy': 0.0, 'time': '2023-02-27 11:26:32', 'reactive_energy': 0.0, 'apparent_energy': 0.0}
{'voltage': 238.275, 'current': 0.04, 'voltage_peak': 336.971, 'current_peak': 0.05, 'Power_factor': 0.6999000000000001, 'Frequency': 50.17, 'Active_Power': 0.0007, 'Reactive_Power': 1844674407370955.2, 'Apparent_Power': 0.001, 'Active_Energy': 0.0, 'time': '2023-02-27 11:26:32', 'reactive_energy': 0.0, 'apparent_energy': 0.0}
{'voltage': 238.562, 'current': 0.04, 'voltage_peak': 337.377, 'current_peak': 0.05, 'Power_factor': 1.0, 'Frequency': 50.18, 'Active_Power': 0.0019, 'Reactive_Power': 0.0, 'Apparent_Power': 0.0019, 'Active_Energy': 0.0, 'time': '2023-02-27 11:26:33', 'reactive_energy': 0.0, 'apparent_energy': 0.0}
